,Tokyo,Paris,Boulder,Bogota,Sydney
2003-02-01,278.1218031431717,276.5561036908614,263.77579246182097,287.4144698584196,295.9768330748652
2003-03-01,280.7010213535759,283.0255239534223,269.4490037878828,287.23812828187954,294.2009487131435
2003-04-01,287.10631740648597,284.55559884481545,273.05599058074785,287.3877514377317,292.612093296237
2003-05-01,291.1746422632286,287.57834283863866,276.6825708821174,287.0136935481013,291.422232961603
2003-06-01,295.6223686937392,294.05845046947474,281.7751018652291,286.37957636377536,289.85831473733856
2003-07-01,295.3997151880068,293.88032766488885,289.02291878383056,285.92358198403537,288.44936335306386
2003-08-01,298.2728360259778,297.25753603983804,286.9210696897166,286.2780463651614,288.70586019166757
2003-09-01,296.30279780725743,289.53413123299214,280.9432683678128,286.5274182915817,289.80665912400866
2003-10-01,289.6285363194227,282.85452606101984,277.7673387620457,287.18469144050374,289.69266052907363
2003-11-01,286.6182609219205,281.3778880110025,266.6649443522047,287.1953788087789,291.3349527873559
2003-12-01,279.8104073306463,277.91518068985204,262.8121480890111,287.0653491614312,294.5465069540402
2004-01-01,277.560716308726,278.03274174087875,262.105000554805,286.94600688235863,296.1478309672677
2004-02-01,279.9760615389112,277.92586805812715,264.0144770199661,286.88366390075356,295.7577420252245
2004-03-01,281.8000390578711,279.7409394368578,271.28544990316374,287.18112898441206,294.8760341425242
2004-04-01,288.3513958105416,283.5705797354553,273.0185847917848,287.60506125932653,293.28895995366355
2004-05-01,291.81410313169204,286.4704189941142,278.14852156385956,287.042193196835,290.90389560025795
2004-06-01,295.8646157079761,291.24945384115466,282.3735944886378,285.8487704061093,289.44685105874504
2004-07-01,300.663244063521,292.3395654052205,285.5762425150928,285.8915198792099,288.5045814224855
2004-08-01,299.85991021483846,292.8365280300153,284.320476742762,286.0375805789704,288.8447959792446
2004-09-01,297.30919165316794,290.2056542062811,280.4534306552015,286.6699165352504,289.5929117585055
2004-10-01,289.72294140585325,285.7810837403666,275.1899017796873,287.25059687820055,291.06242489633945
2004-11-01,287.05644302120186,280.5603043379531,267.3542796059523,287.523124769217,292.69937347048415
2004-12-01,280.9165499471249,276.24260755479014,263.70276211194073,287.22031600142094,293.2604603049298
